abandoned,weaksubj,negative
abandonment,weaksubj,negative
abandon,weaksubj,negative
abase,strongsubj,negative
abasement,strongsubj,negative
abash,strongsubj,negative
abate,weaksubj,negative
abdicate,weaksubj,negative
aberration,strongsubj,negative
abhor,strongsubj,negative
abhorred,strongsubj,negative
abhorrence,strongsubj,negative
abhorrent,strongsubj,negative
abhorrently,strongsubj,negative
abhors,strongsubj,negative
abidance,strongsubj,positive
abide,strongsubj,positive
abject,strongsubj,negative
abjectly,strongsubj,negative
abjure,weaksubj,negative
abilities,weaksubj,positive
ability,weaksubj,positive
able,weaksubj,positive
abnormal,weaksubj,negative
abolish,weaksubj,negative
abominable,strongsubj,negative
abominably,strongsubj,negative
abominate,strongsubj,negative
abomination,strongsubj,negative
above,weaksubj,positive
aboveaverage,weaksubj,positive
abound,weaksubj,positive
abrade,weaksubj,negative
abrasive,strongsubj,negative
abrupt,weaksubj,negative
abscond,strongsubj,negative
absence,weaksubj,negative
absentee,weaksubj,negative
absentminded,strongsubj,negative
absolve,strongsubj,positive
absurd,strongsubj,negative
absurdity,strongsubj,negative
absurdly,strongsubj,negative
absurdness,strongsubj,negative
abundant,weaksubj,positive
abundance,weaksubj,positive
abuse,weaksubj,negative
abuse,strongsubj,negative
abuses,weaksubj,negative
abusive,strongsubj,negative
abysmal,strongsubj,negative
abysmally,strongsubj,negative
abyss,strongsubj,negative
accede,strongsubj,positive
accept,weaksubj,positive
acceptance,weaksubj,positive
acceptable,weaksubj,positive
accessible,weaksubj,positive
accidental,weaksubj,negative
acclaim,strongsubj,positive
acclaimed,strongsubj,positive
acclamation,strongsubj,positive
accolade,strongsubj,positive
accolades,strongsubj,positive
accommodative,weaksubj,positive
accomplish,weaksubj,positive
accomplishment,weaksubj,positive
accomplishments,weaksubj,positive
accord,weaksubj,positive
accordance,weaksubj,positive
accordantly,weaksubj,positive
accost,weaksubj,negative
accountable,weaksubj,negative
accurate,weaksubj,positive
accurately,weaksubj,positive
accursed,strongsubj,negative
accusation,strongsubj,negative
accusations,strongsubj,negative
accuse,strongsubj,negative
accuses,strongsubj,negative
accusing,strongsubj,negative
accusingly,strongsubj,negative
acerbate,strongsubj,negative
acerbic,strongsubj,negative
acerbically,strongsubj,negative
ache,strongsubj,negative
achievable,weaksubj,positive
achieve,weaksubj,positive
achievement,weaksubj,positive
achievements,weaksubj,positive
acknowledge,weaksubj,positive
acknowledgement,weaksubj,positive
acquit,weaksubj,positive
acrid,strongsubj,negative
acridly,strongsubj,negative
acridness,strongsubj,negative
acrimonious,strongsubj,negative
acrimoniously,strongsubj,negative
acrimony,strongsubj,negative
active,weaksubj,positive
acumen,strongsubj,positive
adamant,strongsubj,negative
adamantly,strongsubj,negative
adaptable,weaksubj,positive
adaptability,weaksubj,positive
adaptive,weaksubj,positive
addict,weaksubj,negative
addiction,weaksubj,negative
adept,weaksubj,positive
adeptly,weaksubj,positive
adequate,weaksubj,positive
adherence,weaksubj,positive
adherent,weaksubj,positive
adhesion,weaksubj,positive
admirable,strongsubj,positive
admirer,strongsubj,positive
admirably,strongsubj,positive
admiration,strongsubj,positive
admire,strongsubj,positive
admiring,strongsubj,positive
admiringly,strongsubj,positive
admission,weaksubj,positive
admit,strongsubj,positive
admittedly,strongsubj,positive
admonish,strongsubj,negative
admonisher,strongsubj,negative
admonishingly,strongsubj,negative
admonishment,strongsubj,negative
admonition,strongsubj,negative
adorable,strongsubj,positive
adore,strongsubj,positive
adored,strongsubj,positive
adorer,strongsubj,positive
adoring,strongsubj,positive
adoringly,strongsubj,positive
adrift,weaksubj,negative
adroit,strongsubj,positive
adroitly,strongsubj,positive
adulate,strongsubj,positive
adulation,strongsubj,positive
adulatory,strongsubj,positive
adulterate,strongsubj,negative
adulterated,strongsubj,negative
adulteration,strongsubj,negative
advanced,weaksubj,positive
advantage,weaksubj,positive
advantageous,strongsubj,positive
advantages,weaksubj,positive
adventure,weaksubj,positive
adventuresome,strongsubj,positive
adventurism,strongsubj,positive
adventurous,weaksubj,positive
adversarial,weaksubj,negative
adversary,weaksubj,negative
adverse,weaksubj,negative
adversity,strongsubj,negative
advice,weaksubj,positive
advisable,weaksubj,positive
advocate,strongsubj,positive
advocacy,strongsubj,positive
affable,strongsubj,positive
affability,weaksubj,positive
affably,weaksubj,positive
affectation,weaksubj,negative
affection,strongsubj,positive
affectionate,strongsubj,positive
affinity,weaksubj,positive
affirm,strongsubj,positive
affirmation,strongsubj,positive
affirmative,weaksubj,positive
afflict,weaksubj,negative
affliction,weaksubj,negative
afflictive,strongsubj,negative
affluent,weaksubj,positive
affluence,weaksubj,positive
afford,weaksubj,positive
affordable,weaksubj,positive
affront,strongsubj,negative
afloat,weaksubj,positive
afraid,strongsubj,negative
against,weaksubj,negative
aggravate,strongsubj,negative
aggravating,strongsubj,negative
aggravation,strongsubj,negative
aggression,strongsubj,negative
aggressive,strongsubj,negative
aggressiveness,strongsubj,negative
aggressor,strongsubj,negative
aggrieve,strongsubj,negative
aggrieved,strongsubj,negative
aghast,strongsubj,negative
agile,weaksubj,positive
agilely,weaksubj,positive
agility,weaksubj,positive
agitate,strongsubj,negative
agitated,strongsubj,negative
agitation,strongsubj,negative
agitator,strongsubj,negative
agonies,strongsubj,negative
agonize,strongsubj,negative
agonizing,strongsubj,negative
agonizingly,strongsubj,negative
agony,strongsubj,negative
agree,strongsubj,positive
agreeability,strongsubj,positive
agreeable,weaksubj,positive
agreeable,strongsubj,positive
agreeableness,strongsubj,positive
agreeably,strongsubj,positive
agreement,weaksubj,positive
ail,weaksubj,negative
ailment,weaksubj,negative
aimless,strongsubj,negative
airs,weaksubj,negative
alarm,weaksubj,negative
alarmed,strongsubj,negative
alarming,strongsubj,negative
alarmingly,strongsubj,negative
alas,strongsubj,negative
alienate,weaksubj,negative
alienated,weaksubj,negative
alienation,weaksubj,negative
allay,strongsubj,positive
allegation,strongsubj,negative
